id,Artist,Title,Album,Year,Lyric
10,Katy Perry,California Gurls,Teenage Dream,2010,snoop dogg greetings loved ones let's take a journey   katy perry i know a place where the grass is really greener warm wet and wild there must be something in the water sipping gin and juice laying underneath the palm trees undone the boys break their necks tryna creep a little sneak peek at us  pre katy perry you could travel the world but nothing comes close to the golden coast once you party with us you'll be falling in love ohohohohohohoh   katy perry california girls we're unforgettable daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh california girls we're undeniable fine fresh fierce we got it on lock west coast represent now put your hands up ohohohohoh ohohohohohohoh   katy perry sex sex on the beach we don't mind sand in our stilettos we freak in my jeep horn honks snoop doggy dogg on the stereo ohoh  pre katy perry you could travel the world you could travel the world but nothing comes close to the golden coast once you party with us once you party with us you'll be falling in love ohohohohohohoh   katy perry  snoop dogg california girls we're unforgettable california daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh california girls california we're undeniable fine fresh fierce we got it on lock west coast represent west coast now put your hands up ohohohohoh ohohohohohohoh   snoop dogg  katy perry both toned tan fit and ready turn it up cause it's getting heavy wild wild west coast these are the girls i love the most i mean the ones i mean like she's the one kiss her touch her squeeze her buns uh the girl's a freak she drive a jeep and live on the beach i'm okay i won't play i love the bay just like i love la venice beach and palm springs summertime is everything homeboys banging out all that ass hanging out bikinis zucchinis martinis no weenies just the king and a queenie katy my lady yeah lookie here baby uhhuh i'm all up on ya 'cause you representin' california ohoh yeah   katy perry  snoop dogg california girls we're unforgettable daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh come on come on california girls we're undeniable fine fresh fierce we got it on lock west coast represent west coast west coast now put your hands up aye aye ohohohohoh ohohohohohohoh   snoop dogg  katy perry california california girls california girls man california hahahaha california girls i really wish you all could be california girls
11,Katy Perry,Teenage Dream,Teenage Dream,2010,you think i'm pretty without any makeup on you think i'm funny when i tell the punch line wrong i know you get me so i let my walls come down down before you met me i was alright but things were kinda heavy you brought me to life now every february you'll be my valentine valentine  pre let's go all the way tonight no regrets just love we can dance until we die you and i we'll be young forever   you make me feel like i'm living a teenage dream the way you turn me on i can't sleep let's run away and don't ever look back don't ever look back my heart stops when you look at me just one touch now baby i believe this is real so take a chance and don't ever look back don't ever look back   we drove to cali and got drunk on the beach got a motel and built a fort out of sheets i finally found you my missing puzzle piece i'm complete  pre let's go all the way tonight no regrets just love we can dance until we die you and i we'll be young forever   you make me feel like i'm living a teenage dream the way you turn me on i can't sleep let's run away and don't ever look back don't ever look back my heart stops when you look at me just one touch now baby i believe this is real so take a chance and don't ever look back don't ever look back   i'mma get your heart racing in my skintight jeans be your teenage dream tonight let you put your hands on me in my skintight jeans be your teenage dream tonight tonight tonight tonight tonight tonight tonight   you make me you make me feel like i'm living a teenage dream the way you turn me on i can't sleep let's run away and don't ever look back don't ever look back no my heart stops when you look at me just one touch now baby i believe this is real ohoh so take a chance and don't ever look back don't ever look back   i'mma get your heart racing in my skintight jeans be your teenage dream tonight let you put your hands on me in my skintight jeans be your teenage dream tonight tonight tonight tonight tonight tonight tonight  produced by dr luke benny blanco and max martin
12,Katy Perry,Witness,Witness,2017,if i lost it all today would you stay could my love be enough to stimulate if shit hit the fan grenades got thrown would you still show oh could you go down with me to the mat could we get back up and eventually laugh roll eyes at highs cheers in the lows and stay in the flow whoa  pre 'cause i i only got this life and i ain't got the time no not to get it right oh   we're all just looking for connection yeah we all want to be seen i'm looking for someone who speaks my language someone to ride this ride with me can i get a witness witness will you be my witness witness i'm just looking for a witness in all of this looking for a witness to get me through this   when you tell me everything and there's no holes you can scroll through anything you've got the codes nothing to hide it's all in their eyes and we just know whoa  pre 'cause i i only got this life and i ain't got the time no not to get it right oh   we're all just looking for connection yeah we all want to be seen i'm looking for someone who speaks my language someone to ride this ride with me can i get a witness witness will you be my witness witness i'm just looking for a witness yeah in all of this oh looking for a witness to get me through this through this through this through this through this through this through this through this through this   will you be my witness could you be the one that speaks for me will you be my witness   we're all just looking for connection we're all just looking yeah we all want to be seen i'm looking for someone who speaks my language someone to ride this ride to ride this ride with me with me can i get a witness witness will you be my witness witness will you be my witness i'm just looking for a witness in all of this looking for a witness to get me through this ohohohoh ah ohohohoh ohohoh oohooh hey ah ohohoh hey
13,Katy Perry,Hot n Cold,One of the Boys,2008,you change your mind like a girl changes clothes yeah you pms like a bitch i would know and you overthink always speak cryptically i should know that you're no good for me   'cause you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down you're wrong when it's right it's black and it's white we fight we break up we kiss we make up you you don't really wanna stay no you but you don't really wanna go oh you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down   we used to be just like twins so in sync the same energy now's a dead battery used to laugh used to laugh 'bout nothing 'bout nothing now you're plain now you're plain boring boring i should know i should know that you're not gonna change   'cause you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down you're wrong when it's right it's black and it's white we fight we break up we kiss we make up you you don't really wanna stay no you but you don't really wanna go oh you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down   someone call the doctor got a case of a love bipolar stuck on a roller coaster can't get off this ride you change your mind like a girl changes clothes   'cause you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down you're wrong when it's right it's black and it's white we fight we break up we kiss we make up you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down you're wrong when it's right it's black and it's white we fight we break up we kiss we make up you you don't really wanna stay no you but you don't really wanna go oh you're hot then you're cold you're yes then you're no you're in then you're out you're up then you're down
14,Katy Perry,Birthday,PRISM,2013,i heard you're feeling nothing's going right why don't you let me stop by the clock is ticking running out of time so we should party all night  pre  so cover your eyes i have a surprise i hope you got a healthy appetite if you wanna dance if you want it all you know that i'm the girl that you should call   boy when you're with me i'll give you a taste make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be your gift give you something good to celebrate   pop your confetti pop your pΓ©rignon so hot and heavy 'til dawn i got you spinning like a disco ball all night they're playing your song  pre  we're living the life we're doing it right right you're never gonna be unsatisfied if you wanna dance if you want it all all you know that i'm the girl that you should call yeah   boy when you're with me i'll give you a taste make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be i'll be your gift your gift give you something good to celebrate   happy birthday so let me get you in your birthday suit it's time to bring out the big balloons woo so let me get you in your birthday suit it's time to bring out the big big big big big big balloons   boy when you're with me i'll give you a taste oh baby i'll make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate celebrate now boy when you're with me i'll give you a taste celebrate now make it like your birthday every day woo i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be your gift give you something good to celebrate   happy birthday
15,Katy Perry,E.T.,Teenage Dream,2010,you're so hypnotizing could you be the devil could you be an angel your touch magnetizing feels like i am floating leaves my body glowing they say be afraid you're not like the others futuristic lover different dna they don't understand you  pre you're from a whole 'nother world a different dimension you open my eyes and i'm ready to go lead me into the light   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   you're so supersonic wanna feel your powers stun me with your lasers your kiss is cosmic every move is magic  pre you're from a whole 'nother world a different dimension you open my eyes and i'm ready to go lead me into the light   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   this is transcendental on another level boy you're my lucky star i wanna walk on your wavelength and be there when you vibrate for you i'll risk it all all   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   extraterrestrial extraterrestrial boy you're an alien your touch so foreign it's supernatural extraterrestrial
16,Katy Perry,Harleys In Hawaii,Smile (Fan Edition),2019,boy tell me can you take my breath away cruisin' down a heartshaped highway got you swervin' lanetolane don't hit the brakes 'cause i'm feelin' so safe  pre i'll be your baby on a sunday oh why don't we get out of town call me your baby on the same wave oh no no there's no slowin' down   you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride when i hulahula hula so good you'll take me to the jewelerjeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii ha   let me run my fingers through your salty hair go ahead explore the island vibes so real that you can feel it in the air i'm revvin' up your engine  pre i'll be your baby on a sunday oh why don't we get out of town why don't we get out of town call me your baby catch the same wave oh no no there's no slowin' down let's go   you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride when i hulahula hula so good you'll take me to the jewelerjeweler jeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii   ahooh no no ooh   you and i you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride oh when i hulahula hula so good you'll take me to the jewelerjeweler jeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii   i'll be your baby on a sunday ahooh oh woah we're ridin' harleys in hawaiii call me your baby catch the same wave ooh oh woah we're ridin' harleys in hawaiii
17,Katy Perry,Unconditionally,PRISM,2013,oh no did i get too close oh did i almost see what's really on the inside all your insecurities all the dirty laundry never made me blink one time   unconditional unconditionally i will love you unconditionally there is no fear now let go and just be free i will love you unconditionally   so come just as you are to me don't need apologies know that you areΒ worthy i'll take your bad days with your good walk through the storm i would i'd do it all because i love you i love you   unconditional unconditionally i will love you unconditionally there is no fear now let go and just be free i will love you unconditionally   so open up your heart and just let it begin open up your heart and just let it begin open up your heart and just let it begin open up your heart   acceptance is the key to be to be truly free will you do the same for me   unconditional unconditionally i will love you unconditionally and there is no fear now let go and just be free 'cause i will love you unconditionally oh yeah   i will love you unconditionally i will love you i will love you unconditionally  produced by max martin and dr luke
18,Katy Perry,Wide Awake,Teenage Dream: The Complete Confection,2012,i'm wide awake i'm wide awake i'm wide awake   yeah i was in the dark i was falling hard with an open heart i'm wide awake how did i read the stars so wrong i'm wide awake and now it's clear to me that everything you see ain't always what it seems i'm wide awake yeah i was dreaming for so long  pre i wish i knew then what i know now wouldn't dive in wouldn't bow down gravity hurts you made it so sweet 'til i woke up on on the concrete   falling from cloud nine crashing from the high i'm letting go tonight yeah i'm falling from cloud nine   i'm wide awake not losing any sleep i picked up every piece and landed on my feet i'm wide awake need nothing to complete myself no i'm wide awake yeah i am born again out of the lion's den i don't have to pretend and it's too late the story's over now the end  pre i wish i knew then what i know now wouldn't dive in wouldn't bow down gravity hurts you made it so sweet 'til i woke up on on the concrete   falling from cloud nine it was out of the blue i'm crashing from the high i'm letting go tonight yeah i'm letting you go i'm i'm falling from cloud nine i'm wide awake   thunder rumbling castles crumbling i'm wide awake i am trying to hold on i'm wide awake god knows that i tried seeing the bright side i'm wide awake but i'm not blind anymore  interlude i'm wide awake i'm wide awake   yeah i'm falling from cloud nine it was out of the blue i'm crashing from the high you know i'm letting go tonight yeah i'm letting you go i'm i'm falling from cloud nine   i'm wide awake i'm wide awake i'm wide awake i'm wide awake i'm wide awake
19,Katy Perry,Part of Me,Teenage Dream: The Complete Confection,2012,days like this i want to drive away pack my bags and watch your shadow fade you chewed me up and spit me out like i was poison in your mouth you took my light you drained me down but that was then and this is now now look at me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no   i just wanna throw my phone away find out who is really there for me you ripped me off your love was cheap was always tearing at the seams i fell deep you let me drown but that was then and this is now now look at me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no   now look at me im sparkling a firework a dancing flame you wont ever put me out again im glowing oh whoa so you can keep the diamond ring it don't mean nothing anyway in fact you can keep everything yeah yeah except for me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no away from me throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul my soul this is the part of me that youre never gonna ever take away from me no   this is the part of me no away from me no this is the part of me me me me me me me me me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no
